date,salesNum,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag15,lag30,rolling_mean,rolling_ewm,weekday
2020-06-01,233,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,0
2020-06-02,106,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,169.5,160.42857142857142,1
2020-06-03,276,106.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,205.0,210.40540540540542,2
2020-06-04,139,276.0,106.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,188.5,184.29142857142858,3
2020-06-05,178,139.0,276.0,106.0,233.0,233.0,233.0,233.0,233.0,233.0,186.4,182.2291933418694,4
2020-06-06,141,178.0,139.0,276.0,106.0,233.0,233.0,233.0,233.0,233.0,178.83333333333334,169.69022869022868,5
2020-06-07,81,141.0,178.0,139.0,276.0,106.0,233.0,233.0,233.0,233.0,164.85714285714286,144.10206381629922,6
2020-06-08,192,81.0,141.0,178.0,139.0,276.0,106.0,233.0,233.0,233.0,159.0,157.4087155574396,0
2020-06-09,43,192.0,81.0,141.0,178.0,139.0,276.0,106.0,106.0,106.0,150.0,126.48460989602451,1
2020-06-10,267,43.0,192.0,81.0,141.0,178.0,139.0,276.0,276.0,276.0,148.71428571428572,163.70973505523347,2
2020-06-11,167,267.0,43.0,192.0,81.0,141.0,178.0,139.0,139.0,139.0,152.71428571428572,164.56857449186077,3
2020-06-12,231,167.0,267.0,43.0,192.0,81.0,141.0,178.0,178.0,178.0,160.28571428571428,181.71971648013098,4
2020-06-13,150,231.0,167.0,267.0,43.0,192.0,81.0,141.0,141.0,141.0,161.57142857142858,173.59680930985994,5
2020-06-14,138,150.0,231.0,167.0,267.0,43.0,192.0,81.0,81.0,81.0,169.71428571428572,164.5361648911736,6
2020-06-15,152,138.0,150.0,231.0,167.0,267.0,43.0,192.0,192.0,192.0,164.0,161.35967476644927,0
2020-06-16,226,152.0,138.0,150.0,231.0,167.0,267.0,43.0,233.0,233.0,190.14285714285714,177.6833617911595,1
2020-06-17,402,226.0,152.0,138.0,150.0,231.0,167.0,267.0,106.0,106.0,209.42857142857142,234.18725812714914,2
2020-06-18,877,402.0,226.0,152.0,138.0,150.0,231.0,167.0,276.0,276.0,310.85714285714283,395.8015782826147,3
2020-06-19,131,877.0,402.0,226.0,152.0,138.0,150.0,231.0,139.0,139.0,296.57142857142856,329.32008115541703,4
2020-06-20,39,131.0,877.0,402.0,226.0,152.0,138.0,150.0,178.0,178.0,280.7142857142857,256.5091620104856,5
2020-06-21,72,39.0,131.0,877.0,402.0,226.0,152.0,138.0,141.0,141.0,271.2857142857143,210.27190039081026,6
2020-06-22,80,72.0,39.0,131.0,877.0,402.0,226.0,152.0,81.0,81.0,261.0,177.64572650502427,0
2020-06-23,255,80.0,72.0,39.0,131.0,877.0,402.0,226.0,192.0,192.0,265.14285714285717,197.01020173949442,1
2020-06-24,95,255.0,80.0,72.0,39.0,131.0,877.0,402.0,43.0,43.0,221.28571428571428,171.48203656635417,2
2020-06-25,84,95.0,255.0,80.0,72.0,39.0,131.0,877.0,267.0,267.0,108.0,149.5950565211136,3
2020-06-26,79,84.0,95.0,255.0,80.0,72.0,39.0,131.0,167.0,167.0,100.57142857142857,131.93632566904856,4
2020-06-27,116,79.0,84.0,95.0,255.0,80.0,72.0,39.0,231.0,231.0,111.57142857142857,127.95055705323152,5
2020-06-28,77,116.0,79.0,84.0,95.0,255.0,80.0,72.0,150.0,150.0,112.28571428571429,115.20887256921708,6
2020-06-29,64,77.0,116.0,79.0,84.0,95.0,255.0,80.0,138.0,138.0,110.0,102.40360537173773,0
2020-06-30,108,64.0,77.0,116.0,79.0,84.0,95.0,255.0,152.0,152.0,89.0,103.80295392739325,1
2020-07-01,261,108.0,64.0,77.0,116.0,79.0,84.0,95.0,226.0,233.0,112.71428571428571,143.10747975882705,2
2020-07-02,201,261.0,108.0,64.0,77.0,116.0,79.0,84.0,402.0,106.0,129.42857142857142,157.58206382620116,3
2020-07-03,100,201.0,261.0,108.0,64.0,77.0,116.0,79.0,877.0,276.0,132.42857142857142,143.18546323956258,4
2020-07-04,47,100.0,201.0,261.0,108.0,64.0,77.0,116.0,131.0,139.0,122.57142857142857,119.13773862526975,5
2020-07-05,53,47.0,100.0,201.0,261.0,108.0,64.0,77.0,39.0,178.0,119.14285714285714,102.60260323691476,6
2020-07-06,83,53.0,47.0,100.0,201.0,261.0,108.0,64.0,72.0,141.0,121.85714285714286,97.70179666155097,0
2020-07-07,155,83.0,53.0,47.0,100.0,201.0,261.0,108.0,80.0,81.0,128.57142857142858,112.02668897053226,1
2020-07-08,100,155.0,83.0,53.0,47.0,100.0,201.0,261.0,255.0,192.0,105.57142857142857,109.01996297252843,2
2020-07-09,158,100.0,155.0,83.0,53.0,47.0,100.0,201.0,95.0,43.0,99.42857142857143,121.26513642223581,3
2020-07-10,102,158.0,100.0,155.0,83.0,53.0,47.0,100.0,84.0,267.0,99.71428571428571,116.4488038808185,4
2020-07-11,200,102.0,158.0,100.0,155.0,83.0,53.0,47.0,79.0,167.0,121.57142857142857,137.3367604567495,5
2020-07-12,71,200.0,102.0,158.0,100.0,155.0,83.0,53.0,116.0,231.0,124.14285714285714,120.7524765281013,6
2020-07-13,240,71.0,200.0,102.0,158.0,100.0,155.0,83.0,77.0,150.0,146.57142857142858,150.56448387715017,0
2020-07-14,128,240.0,71.0,200.0,102.0,158.0,100.0,155.0,64.0,138.0,142.71428571428572,144.92334495794813,1
2020-07-15,147,128.0,240.0,71.0,200.0,102.0,158.0,100.0,108.0,152.0,149.42857142857142,145.4425099574353,2
2020-07-16,92,147.0,128.0,240.0,71.0,200.0,102.0,158.0,261.0,226.0,140.0,132.08185855443307,3
2020-07-17,249,92.0,147.0,128.0,240.0,71.0,200.0,102.0,201.0,402.0,161.0,161.31143315337408,4
2020-07-18,459,249.0,92.0,147.0,128.0,240.0,71.0,200.0,100.0,877.0,198.0,235.7336497928759,5
2020-07-19,468,459.0,249.0,92.0,147.0,128.0,240.0,71.0,47.0,131.0,254.71428571428572,293.80028119051144,6
